Embeddings,Weigths,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
GLOVE+W2V,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982792527
GLOVE+W2V,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982792527
GLOVE+W2V,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982792527
GLOVE+W2V,"[8,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982792527
GLOVE+W2V,"[1,8]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982792527
GLOVE+FT,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
GLOVE+FT,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
GLOVE+FT,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
GLOVE+FT,"[8,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
GLOVE+FT,"[1,8]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
GLOVE+jointcHYB,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+jointcHYB,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+jointcHYB,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+jointcHYB,"[8,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+jointcHYB,"[1,8]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE+UKB,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+UKB,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+UKB,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+UKB,"[8,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+UKB,"[1,8]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE+LEXVEC,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9877089479
GLOVE+LEXVEC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9877089479
GLOVE+LEXVEC,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9877089479
GLOVE+LEXVEC,"[8,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9877089479
GLOVE+LEXVEC,"[1,8]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9877089479
GLOVE+SKE,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
GLOVE+SKE,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
GLOVE+SKE,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
GLOVE+SKE,"[8,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
GLOVE+SKE,"[1,8]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
GLOVE+PDC,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9891838741
GLOVE+PDC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9891838741
GLOVE+PDC,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9891838741
GLOVE+PDC,"[8,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9891838741
GLOVE+PDC,"[1,8]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9891838741
W2V+FT,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9813176008
W2V+FT,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9813176008
W2V+FT,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9813176008
W2V+FT,"[8,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9813176008
W2V+FT,"[1,8]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9813176008
W2V+jointcHYB,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
W2V+jointcHYB,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
W2V+jointcHYB,"[1,2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
W2V+jointcHYB,"[8,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
W2V+jointcHYB,"[1,8]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
W2V+UKB,"[1,1]",1,0.9895470383,1,1,1,1,1,1,1,1,1,1,0.9652777778,1,1,1,0.9734513274
W2V+UKB,"[2,1]",1,0.9895470383,1,1,1,1,1,1,1,1,1,1,0.9652777778,1,1,1,0.9734513274
W2V+UKB,"[1,2]",1,0.9895470383,1,1,1,1,1,1,1,1,1,1,0.9652777778,1,1,1,0.9734513274
W2V+UKB,"[8,1]",1,0.9895470383,1,1,1,1,1,1,1,1,1,1,0.9652777778,1,1,1,0.9734513274
W2V+UKB,"[1,8]",1,0.9895470383,1,1,1,1,1,1,1,1,1,1,0.9652777778,1,1,1,0.9734513274
W2V+LEXVEC,"[1,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9783677483
W2V+LEXVEC,"[2,1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9783677483
